Name , RA (J2000) , Dec (J2000) , Disc. Date , Disc. source , Disc. Mag , Redshift , Type , Phase , Notes 
LSQ12bvl, 14:13:00.65 , -05:48:12.2 ,2012-04-15,LSQ ,18.1,0.065, Ia ,+1d , host M=-17.6 
LSQ12bxp, 15:32:16.25 , -22:28:27.8 ,2012-04-16,LSQ ,18.8,0.11, Ia ,+9d , apparently hostless 
LSQ12bxu, 14:27:24.55 , -20:54:25.2 ,2012-04-16,LSQ ,19.6,0.124, Ia , +12d , host Mr=-18.2 
LSQ12bxv, 14:27:15.55 , -12:12:42.5 ,2012-04-16,LSQ ,19.3,0.098, Ia ,-5d , 
LSQ12byi, 15:48:11.38 , -03:35:57.5 ,2012-04-17,LSQ ,19,0.104, Ia , 0d , hostless or very remote; high Galactic extinction 
LSQ12bzs, 15:13:40.78 , -19:26:54.6 ,2012-04-18,LSQ ,19.3,0.085, Ia_pec ,-4d , 91T-like 
CSS120413:132702-014513 , 13:27:02.04 , -01:45:12.7 ,2012-04-13,CRTS ,18.5,0.084, Ia_pec , 0d , 91T-like; host Mr=-17.1 
SSS120416:211543-192250 , 21:15:43.27 , -19:22:50.1 ,2012-04-16,CRTS ,17.3,0.04, Ia , +10d , remote location; host Mr=-16.6 
CSS120419:150732+203260 , 15:07:32.00 , +20:32:60.0 ,2012-04-19,CRTS ,18.5,0.077, Ia ,+7d , host Mr=-17.3
LSQ12bzz, 10:35:18.70 , -04:26:04.2,2012-04-19, LSQ ,19.6,0.073, Ia_pec ,-5,1991T-like 
CSS120416:091631+075020, 09:16:30.57 , +07:50:20.2,2012-04-16, CRTS ,19,0.119, Ia ,-2,
CSS120418:113531+054254 , 11:35:31.02 , +05:42:54.1 ,2012-04-18, CRTS ,19.1,0.103, Ia ,-4,
LSQ12bqn, 08:28:43.49 , -09:04:25.7 ,2012-04-02, LSQ ,19.6,0.091, Ic? ,19,
LSQ12bxw, 11:05:18.02 , -08:34:53.0 ,2012-04-16, LSQ ,18.1,0.1, Ia ,4, 
LSQ12bnb, 11:48:27.79 , -02:27:46.1,2012-03-31, LSQ ,19,0.085, Ia ,9, 
CSS120416:131835+213833 , 13:18:35.23 , +21:38:33.2 ,2012-04-16, CRTS ,19.7,0.063, IIP ,15, 
LSQ12bov, 13:57:10.44 , +16:17:07.8,2012-03-31, LSQ ,20.3,0.063, Ia ,4, 
CSS120419:143825+175814 , 14:38:25.29 , +17:58:14.1 ,2012-04-19, CRTS ,20,0.179, Ia_pec ,8, 1991T-like
LSQ12bpc, 14:48:53.50 , +15:36:53.3 ,2012-03-31, LSQ ,18.5,0.05, Ia_pec ,19, 1991bg-like Mmax=-18 
LSQ12bqd, 13:11:38.16 , -16:23:46.0 ,2012-03-29, LSQ ,19.3,0.041, IIn , unknown , 
LSQ12bjm, 14:07:53.88 , -12:46:16.7 ,2012-03-21, LSQ ,16.9,0.053, Ia_pec ,36, 1991T-like 
LSQ12bjw, 14:12:28.73 , -16:35:33.4 ,2012-03-22, LSQ ,19.9,0.1, Ia ,15, 
LSQ12caf, 16:18:24.36 , -04:08:57.1 ,2012-04-19, LSQ ,19.5,0.095, Ia_pec ,-7, 1991T-like 
LSQ12byu, 12:16:05.88 , +09:38:07.1 ,2012-04-17, LSQ ,20.4,0.34, Ia_pec , ~0?, hyper-luminous (M~-20.5) 
CSS120415:170824+030104 , 17:08:24.35 , +03:01:03.5 ,2012-04-15, CRTS ,18.5,0.077, Ia ,28, 
SSS120420:204522-504405 , 20:45:22.09 , -50:44:05.2 ,2012-04-20, CRTS ,17.2,0.013, Ia ,85, 
CSS120418:125049+222228 , 12:50:48.51 , +22:22:28.3 ,2012-04-18, CRTS ,18.3,0.072, Ia ,0,
LSQ12cer, 13:17:08.45 , -20:24:41.8 ,2012-04-24,LSQ ,17.7, 0.024* , II , 1 week , 
LSQ12cby, 13 38 14.78 , -20 17 58.9 ,2012-04-20,LSQ ,19,0.093, Ia ,-3, 
LSQ12cbo, 14 59 38.16 , +21 19 04.8 ,2012-04-19,LSQ ,19.9,0.123, Ia ,1, 
LSQ12cca, 13 59 06.43 , -14 35 46.0 ,2012-04-20,LSQ ,19.1,0.104, Ia ,11, 
CSS120421:143501-071918 , 14 35 00.76 , -07 19 17.8,2012-04-21,CRTS,19.4,0.066, II ,few weeks,
CSS120424:151613-095504 , 15 16 13.05 , -09 55 03.9 ,2012-04-24,CRTS,19.4,0.116, Ia ,6, 
PSNJ20522510-0546156, 20 52 25.10 , -05 46 15.6 ,2012-04-22,CHASE# ,17.8, 0.020* , II , 2 weeks ,
PSNJ18410706-4147374, 18 41 07.06 , -41 47 37.4 ,2012-04-25,BOSS,14.5,0.019, IIn , , 07cy-like
LSQ12cbn , 14:48:00.55, +20:49:52.7 ,2012-04-19,LSQ ,20.5, 0.194* , Ia-pec ,5, -19.8 at max; some similarity with SN 2006gz 
LSQ12ccx , 14:38:25.37, +17:58:15.6 ,2012-04-21,LSQ ,19.9,0.171,Ia ,21, 
LSQ12cdl , 12:53:39.96, -18:30:26.3 ,2012-04-22,LSQ ,19.1,0.114,Ia ,1, 
LSQ12cda , 13:50:02.33, +09:37:47.3 ,2012-04-21,LSQ ,19.5, 0.138* ,Ia ,-4, 
MLS120429:134155-143539 , 13:41:55.33, -14:35:38.5 ,2012-04-29,CRTS ,19.7,0.141,Ia ,5, 
MASTER134201m023856 , 13:42:01.21 , -02:38:56.2 ,2012-04-21,MASTER ,19.4,0.13,II?, young , 
MLS120429:133606-113718 , 13:36:05.59, -11:37:17.5 ,2012-04-29,CRTS ,19.2, 0.074** , Ia-pec ,25, 1991T-like 
CSS120420:133640-215116 , 13:36:40.42, -21:51:15.9 ,2012-04-20,CRTS ,19.4,0.111,Ia ,15, 
LSQ12ccc , 14:24:31.34, -10:35:21.8 ,2012-04-20,LSQ ,19.7, 0.18:, Ia-pec ,-4, 1991T-like
